127.0.0.1 - - [15/Feb/2019:08:41:22 +0000] "GET /2019/02/15/hello-world/ HTTP/1.0" 200 17638 "http://big-brother.local/2019/02/15/hello-world/" "WordPress/5.0.3; http://big-brother.local"
127.0.0.1 - - [15/Feb/2019:08:41:24 +0000] "POST /wp-cron.php?doing_wp_cron=1550220083.8518519401550292968750 HTTP/1.0" 499 0 "http://big-brother.local/wp-cron.php?doing_wp_cron=1550220083.8518519401550292968750" "WordPress/5.0.3; http://big-brother.local"
127.0.0.1 - - [15/Feb/2019:08:43:30 +0000] "GET / HTTP/1.0" 200 10778 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:43:32 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://big-brother.local/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:43:48 +0000] "GET / HTTP/1.0" 200 10778 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:43:49 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://big-brother.local/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:44:58 +0000] "GET /admin HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:44:59 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:44:59 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Fbig-brother.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 3220 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:45:00 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://big-brother.local/wp-login.php?redirect_to=http%3A%2F%2Fbig-brother.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:45:11 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://big-brother.local/wp-login.php?redirect_to=http%3A%2F%2Fbig-brother.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:45:12 +0000] "GET /wp-admin/ HTTP/1.0" 200 56771 "http://big-brother.local/wp-login.php?redirect_to=http%3A%2F%2Fbig-brother.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:45:12 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=5.0.3 HTTP/1.0" 200 109068 "http://big-brother.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
127.0.0.1 - - [15/Feb/2019:08:45:12 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=5.0.3 HTTP/1.0" 200 337383 "http://big-brother.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
